TIME,PID,COMM,ACTION,SYSCALL ID,PARM1
1660389061.460271,         b'test',30704 ,1,230,0
1660389061.460341,         b'test',30704 ,0,230,0
1660389062.457409,         b'test',30704 ,1,230,0
1660389062.457451,         b'test',30704 ,0,230,0
1660389063.457598,         b'test',30704 ,1,230,0
1660389063.457644,         b'test',30704 ,0,230,0
1660389064.457803,         b'test',30704 ,1,230,0
1660389064.457860,         b'test',30704 ,0,230,0
1660389065.456033,         b'test',30704 ,1,230,0
1660389065.456086,         b'test',30704 ,0,230,0
1660389066.456209,         b'test',30704 ,1,230,0
1660389066.456251,         b'test',30704 ,0,230,0
1660389067.456400,         b'test',30704 ,1,230,0
1660389067.456472,         b'test',30704 ,0,230,0
1660389068.461603,         b'test',30704 ,1,230,0
1660389068.461656,         b'test',30704 ,0,230,0
1660389069.461821,         b'test',30704 ,1,230,0
1660389069.461878,         b'test',30704 ,0,230,0
1660389070.462058,         b'test',30704 ,1,230,0
1660389070.462122,         b'test',30704 ,0,230,0
1660389071.461131,         b'test',30704 ,1,230,0
1660389071.461174,         b'test',30704 ,0,230,0
1660389072.461297,         b'test',30704 ,1,230,0
1660389072.461355,         b'test',30704 ,0,230,0
1660389073.461449,         b'test',30704 ,1,230,0
1660389073.461509,         b'test',30704 ,0,230,0
1660389074.460859,         b'test',30704 ,1,230,0
1660389074.460885,         b'test',30704 ,0,230,0
1660389075.461093,         b'test',30704 ,1,230,0
1660389075.461141,         b'test',30704 ,0,230,0
1660389076.461284,         b'test',30704 ,1,230,0
1660389076.461375,         b'test',30704 ,0,230,0
1660389077.461449,         b'test',30704 ,1,230,0
1660389077.461476,         b'test',30704 ,0,230,0
1660389078.462899,         b'test',30704 ,1,230,0
1660389078.462966,         b'test',30704 ,0,230,0
1660389079.463091,         b'test',30704 ,1,230,0
1660389079.463169,         b'test',30704 ,0,230,0
1660389080.463324,         b'test',30704 ,1,230,0
1660389080.463401,         b'test',30704 ,0,230,0
1660389081.461798,         b'test',30704 ,1,230,0
1660389081.461992,         b'test',30704 ,0,230,0
1660389082.462079,         b'test',30704 ,1,230,0
1660389082.462112,         b'test',30704 ,0,230,0
1660389083.462213,         b'test',30704 ,1,230,0
1660389083.462262,         b'test',30704 ,0,230,0
1660389084.460351,         b'test',30704 ,1,230,0
1660389084.460421,         b'test',30704 ,0,230,0
1660389085.460574,         b'test',30704 ,1,230,0
1660389085.460644,         b'test',30704 ,0,230,0
1660389086.460807,         b'test',30704 ,1,230,0
1660389086.460860,         b'test',30704 ,0,230,0
1660389087.469393,         b'test',30704 ,1,230,0
1660389087.469491,         b'test',30704 ,0,230,0
1660389088.469630,         b'test',30704 ,1,230,0
1660389088.469712,         b'test',30704 ,0,230,0
1660389089.469866,         b'test',30704 ,1,230,0
1660389089.469934,         b'test',30704 ,0,230,0
1660389090.465514,         b'test',30704 ,1,230,0
1660389090.465664,         b'test',30704 ,0,230,0
1660389091.465794,         b'test',30704 ,1,230,0
1660389091.465849,         b'test',30704 ,0,230,0
1660389092.466002,         b'test',30704 ,1,230,0
1660389092.466051,         b'test',30704 ,0,230,0
1660389093.466188,         b'test',30704 ,1,230,0
1660389093.466231,         b'test',30704 ,0,230,0
1660389094.465579,         b'test',30704 ,1,230,0
1660389094.465657,         b'test',30704 ,0,230,0
1660389095.465829,         b'test',30704 ,1,230,0
1660389095.465882,         b'test',30704 ,0,230,0
1660389096.466008,         b'test',30704 ,1,230,0
1660389096.466069,         b'test',30704 ,0,230,0
1660389097.468695,         b'test',30704 ,1,230,0
1660389097.468739,         b'test',30704 ,0,230,0
1660389098.468897,         b'test',30704 ,1,230,0
1660389098.468941,         b'test',30704 ,0,230,0
1660389099.469122,         b'test',30704 ,1,230,0
1660389099.469215,         b'test',30704 ,0,230,0
1660389100.467816,         b'test',30704 ,1,230,0
1660389100.467860,         b'test',30704 ,0,230,0
1660389101.468016,         b'test',30704 ,1,230,0
1660389101.468101,         b'test',30704 ,0,230,0
